_id,author,category,etext,language,title,zipfile
3256,Westminster Assembly,Non-fiction,http://www.opc.org/lc.html,English,Westminster Larger Catechism,http://www.archive.org/download/westminster_larger_1005_librivox/westminster_larger_1005_librivox_64kb_mp3.zip
3257,"Darwin, Charles",Non-fiction,http://www.gutenberg.org/etext/2010,English,"Autobiography of Charles Darwin, The",http://www.archive.org/download/autobiography_charles_darwin_am_librivox/autobiography_charles_darwin_am_librivox_64kb_mp3.zip
3258,Various,Fiction,,English,Short Science Fiction Collection 020,http://www.archive.org/download/short_scifi_20_0907_librivox/short_scifi_20_0907_librivox_64kb_mp3.zip
3259,"Seneca, Lucius Annaeus",Non-fiction,http://books.google.com/books?id=vzkhAAAAMAAJ&oe=UTF-8,German,Von der Kürze des Lebens,http://www.archive.org/download/kuerze_des_lebens_0906_librivox/kuerze_des_lebens_0906_librivox_64kb_mp3.zip
3260,Laozi,Non-fiction,http://gutenberg.spiegel.de/buch/1326/1,German,Daodejing (Tao Te Ching),http://www.archive.org/download/daodejing_deutsch_0906_librivox/daodejing_deutsch_0906_librivox_64kb_mp3.zip
3261,"Pyle, Howard",Fiction,http://www.gutenberg.org/ebooks/26862,English,Howard Pyle's Book of Pirates,http://www.archive.org/download/book_of_pirates_1103_librivox/book_of_pirates_1103_librivox_64kb_mp3.zip
3262,"Leacock, Stephen",Fiction,http://www.gutenberg.org/etext/4682,English,Nonsense Novels,http://www.archive.org/download/nonesense_novels_tg_0907_librivox/nonesense_novels_tg_0907_librivox_64kb_mp3.zip
3263,"Cohen, Octavus Roy",Fiction,http://www.gutenberg.org/etext/11043,English,Midnight,http://www.archive.org/download/midnight_rm_0907_librivox/midnight_rm_0907_librivox_64kb_mp3.zip
3264,"MacDonald, George",,,English,Unspoken Sermons,
3265,"Harris, Frank",Non-fiction,http://www.gutenberg.org/files/16894/,English,Oscar Wilde: His Life and Confessions,http://www.archive.org/download/wilde_life_confessions_0907_librivox/wilde_life_confessions_0907_librivox_64kb_mp3.zip
3266,American Standard Version,Non-fiction,http://ebible.org/asv/2Sam.htm,English,Bible (ASV) 10: 2 Samuel,http://www.archive.org/download/bible_2_samuel_asv_1009_ss/bible_2_samuel_asv_1009_ss_64kb_mp3.zip
3267,Various,Non-fiction,http://en.wikipedia.org/wiki/Non-fiction,English,Short Nonfiction Collection Vol. 013,http://www.archive.org/download/nonfiction013_librivox/nonfiction013_librivox_64kb_mp3.zip
3268,"Dunbar, Paul Laurence",Poetry,http://en.wikisource.org/wiki/Life%27s_Tragedy,English,Life’s Tragedy,http://www.archive.org/download/lifes_tragedy1_0906_librivox/lifes_tragedy1_0906_librivox_64kb_mp3.zip
3269,"Sinclair, Upton",Fiction,http://www.gutenberg.org/etext/140,English,"Jungle, The",http://www.archive.org/download/jungle_tw_0908_librivox/jungle_tw_0908_librivox_64kb_mp3.zip
3270,"Fitzgerald, F. Scott",Fiction,http://www.gutenberg.org/etext/4368,English,"Offshore Pirate, The",http://www.archive.org/download/offshorepirate_bt_librivox/offshorepirate_bt_librivox_64kb_mp3.zip
3271,"MacGregor, Mary",Fiction,http://www.gutenberg.org/etext/25654,English,Stories of King Arthur's Knights Told to the Children,http://www.archive.org/download/kingarthursknights_jc_librivox/kingarthursknights_jc_librivox_64kb_mp3.zip
3272,"Jefferies, Richard",Fiction,http://www.gutenberg.org/etext/13944,English,"After London, or Wild England",http://www.archive.org/download/after_london_rg_librivox/after_london_rg_librivox_64kb_mp3.zip
3273,"Tolstoy, Leo",Fiction,http://www.gutenberg.org/etext/1399,English,"Anna Karenina, Book 2",http://www.archive.org/download/annakarenina_2_1004_librivox/annakarenina_2_1004_librivox_64kb_mp3.zip
3274,"Woolf, Virginia",Fiction,http://www.gutenberg.org/ebooks/5670,English,Jacob's Room,http://www.archive.org/download/jacobsroom_1104_librivox/jacobsroom_1104_librivox_64kb_mp3.zip
3275,"Pérez Galdós, Benito",Fiction,http://www.gutenberg.org/etext/16961,Spanish,Trafalgar,http://www.archive.org/download/trafalgar_0909_librivox/trafalgar_0909_librivox_64kb_mp3.zip
3276,"Gissing, George",Fiction,http://www.gutenberg.org/etext/1709,English,New Grub Street,http://www.archive.org/download/grub_street_1001_librivox/grub_street_1001_librivox_64kb_mp3.zip
3277,"Zola, Émile",Fiction,http://www.gutenberg.org/etext/7011,English,"Flood, The",http://www.archive.org/download/flood_zola_0907_rc_librivox1/flood_zola_0907_rc_librivox1_64kb_mp3.zip
